config,p,q0,lifetime,stream,price,policy,mean_tokens,rel_to_ours_evict,mean_final_library,mean_max_library,mean_n_compiles,mean_wasted_compiles,mean_wasted_compiles_tax,mean_wasted_tax_tokens,mean_tax_share,cheapest_policy
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,always_compile_evict_abandon,7118616856.8,0.975047,11.1,20.3,3661.0,3306.0,3319.8,912484.3,0.016805,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,on_second,9226112968.1,1.263714,662.6,662.6,6663.4,6000.8,6611.7,2835674869.3,0.34095,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,ours_evict,7300794750.6,1.0,1.7,6.3,985.0,888.8,888.8,0.0,0.007189,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,oracle_tax,6774386448.3,0.927897,60.7,60.7,596.7,536.0,536.0,0.0,0.04873,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,offline_taxblind,5701564975.73,0.780951,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,offline_opt_tax,5889816932.137,0.806736,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.040567,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,always_compile_evict,10634482616.2,0.567546,144.8,224.5,8600.1,8011.8,8436.1,2718653055.3,0.365,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,always_compile_evict_abandon,18027996487.4,0.962126,50.9,83.7,4175.4,3940.4,4118.0,1110421858.0,0.083483,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,on_second,17446523743.0,0.931093,866.8,866.8,8600.1,8011.8,8511.7,9544732388.1,0.612885,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,ours_evict,18737671821.9,1.0,6.6,12.1,455.0,426.1,446.9,69852264.3,0.012288,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,oracle_tax,7144703145.8,0.381302,83.2,83.2,831.1,747.9,747.9,0.0,0.16077,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,offline_taxblind,5532786298.811,0.295276,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,autorpa_233k,offline_opt_tax,6703376288.114,0.357749,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,native,always_reactive,19497801224.0,1.396862,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,native,always_compile_evict,5709019807.0,0.409006,34.7,60.9,8600.1,7733.3,7741.0,398398.0,0.146212,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,native,always_compile_evict_abandon,15930006497.0,1.141258,10.2,20.5,4175.4,3751.3,3756.2,244207.6,0.018815,always_compile_evict
p=0.1/q0=0.17/life=50,0.1,0.17,50,bpi2019,native,on_second,15567823297.9,1.115311,866.8,866.8,8600.1,7733.3,8508.9,9539372433.5,0.686842,always_compile_evict
