config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,oracle_tax,8513033298.796,1.020512,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_spend_cap,8341921724.198,1.0,9.0,37.0,174.0,0.0,0.0,0.0,62.0,0.012,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_cap_epoch,8341921724.198,1.0,9.0,37.0,174.0,0.0,0.0,0.0,62.0,0.012,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_cap_realized,8341921724.198,1.0,9.0,37.0,174.0,0.0,0.0,0.0,62.0,0.012,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_pi_prior,8347845933.008,1.00071,9.0,34.0,152.0,0.0,0.0,0.0,47.0,0.011,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,breakeven,18042885612.029,2.162917,0.0,7.0,136.0,0.0,0.0,0.0,42.0,0.002,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,breakeven_cap_epoch,18042885612.029,2.162917,0.0,7.0,136.0,0.0,0.0,0.0,42.0,0.002,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_taxblind,8071993785.798,0.967642,,,,,,,,,,,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_opt_tax,8135310515.725,0.975232,,,,,,,,,,,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,always_reactive,19487424199.81,2.340344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,always_compile_evict,8330853696.503,1.000495,12.0,48.0,315.0,0.0,0.0,0.0,170.0,0.014,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_noinflate,8326733882.709,1.0,11.0,37.0,188.0,0.0,0.0,0.0,70.0,0.012,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,oracle_tax,8514100939.345,1.022502,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_spend_cap,8326733882.709,1.0,11.0,37.0,188.0,0.0,0.0,0.0,70.0,0.012,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_cap_epoch,8326733882.709,1.0,11.0,37.0,188.0,0.0,0.0,0.0,70.0,0.012,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_cap_realized,8326733882.709,1.0,11.0,37.0,188.0,0.0,0.0,0.0,70.0,0.012,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_pi_prior,8409747387.978,1.00997,8.0,32.0,160.0,0.0,0.0,0.0,56.0,0.01,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,breakeven,18044928755.647,2.167108,0.0,8.0,139.0,0.0,0.0,0.0,47.0,0.002,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,breakeven_cap_epoch,18044928755.647,2.167108,0.0,8.0,139.0,0.0,0.0,0.0,47.0,0.002,0.0,0.0,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,offline_taxblind,8075713287.084,0.969854,,,,,,,,,,,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,offline_opt_tax,8138021574.812,0.977337,,,,,,,,,,,ours_noinflate,0.999505,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,always_reactive,16977748066.619,1.173787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,always_compile_evict,14610618738.571,1.010132,68.0,88.0,1734.0,0.0,0.0,0.0,1162.0,0.038,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_noinflate,14464073330.274,1.0,53.0,67.0,933.0,0.0,0.0,0.0,446.0,0.029,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,oracle_tax,15057678946.838,1.04104,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_spend_cap,14464073330.274,1.0,53.0,67.0,933.0,0.0,0.0,0.0,446.0,0.029,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_cap_epoch,14464073330.274,1.0,53.0,67.0,933.0,0.0,0.0,0.0,446.0,0.029,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_cap_realized,14464073330.274,1.0,53.0,67.0,933.0,0.0,0.0,0.0,446.0,0.029,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_pi_prior,14471037351.004,1.000481,52.0,65.0,863.0,0.0,0.0,0.0,397.0,0.028,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,breakeven,16811348807.308,1.162283,4.0,13.0,604.0,0.0,0.0,0.0,259.0,0.004,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,breakeven_cap_epoch,16811348807.308,1.162283,4.0,13.0,604.0,0.0,0.0,0.0,259.0,0.004,0.0,0.0,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,offline_taxblind,12100275344.767,0.836575,,,,,,,,,,,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,offline_opt_tax,12329365214.035,0.852413,,,,,,,,,,,ours_noinflate,0.98997,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,always_reactive,16977748066.619,1.170284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.987848,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,always_compile_evict,14685836606.085,1.012301,74.0,85.0,1734.0,0.0,0.0,0.0,1142.0,0.039,0.0,0.0,ours_noinflate,0.987848,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_noinflate,14507379811.31,1.0,66.0,75.0,999.0,0.0,0.0,0.0,490.0,0.03,0.0,0.0,ours_noinflate,0.987848,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,oracle_tax,15059117495.667,1.038032,131.0,131.0,131.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,ours_noinflate,0.987848,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_spend_cap,14507379811.31,1.0,66.0,75.0,999.0,0.0,0.0,0.0,490.0,0.03,0.0,0.0,ours_noinflate,0.987848,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_cap_epoch,14507379811.31,1.0,66.0,75.0,999.0,0.0,0.0,0.0,490.0,0.03,0.0,0.0,ours_noinflate,0.987848,android_ds
